"Title
All rights reserved. The book tags, ratings, classifications, and content-flagging methodology developed by RatedBooks.org constitute proprietary intellectual property. No person or organization may copy, scrape, extract, reproduce, adapt, aggregate, commercialize, or use this data for resale, subscription products, district-level services, or derivative works without the prior written permission of RatedBooks.org. Unauthorized commercial use is strictly prohibited and may result in legal action.",Author,Rating
The Midnight Lie,Marie Rutkoski,3
The Lovely Bones,Alice Sebold,3
The Lesbiana's Guide To Catholic School,Sonora Reyes,3
The Invisible Life of Addie LaRue,V.E. Schwab,3
The Honeys,Ray La Sala,3
The Girl Who Fell From the Sky,Heidi W. Durrow,3
The Gentleman's Guide to Vice and Virtue: Montague Siblings Book 1,Mackenzi Lee,3
"The Every Body Book: the LGBTQ+ Inclusive Guide for Kids About Sex, Gender, Bodies, and Families","Rachel E. Simon, LCSW",3
The Color Purple,Alice Walker,3
The Circle,Dave Eggers,3
The Blood Runs Like a River Through My Dreams,Nasdijj,3
The Black Flamingo,Dean Atta,3
The Big Reveal,Jen Larson,3
The Best Laid Plans,Cameron Lund,3
The Art of Drag,Jake Hall,3
"Tell Me: What Children Really Want to Know About Bodies, Sex and Emotions",Katharina von der Gathen,3
SuperMutant Magic Academy,Jillian Tamaki,3
Sunrise on the Reaping,Suzanne Collins,3
Story of a Girl,Sara Zarr,3
Spinning,Tillie Walden,3
Someone I Used to Know,Patty Blount,3
Sissy: A Coming-Of-Gender Story,Jacob Tobia,3
Simon vs. The Homo Sapiens Agenda,Becky Albertalli,3
She Gets The Girl,Rachael Lippincott and Alyson Derrick,3
Scythe,Neal Shusterman,3
Rethinking Normal,Katie Rain Hill with Ariel Schrag,3
Relish: My Life in the Kitchen,Lucy Knisley,3
Real Live Boyfriends,E. Lockhart,3
Ramona Blue,Julie Murphy,3
Plan A,Deb Caletti,3
Perfect Chemistry,Simone Elkese,3
Optimists Die First,Susin Nielsen,3
Not My Problem,Ciara Smyth,3
Night,Elie Wiesel,3
Nick and Charlie,Alice Oseman,3
Neanderthal Opens the Door to the Universe,Preston Norton,3
More Happy Than Not,Adam Silvera,3
Monsters: A Fan's Dilemma,Claire Dederer,3
Marriage of a Thousand Lies,SJ Sindu,3
Making A Baby,Rachel Greener,3
Lush ,Natasha Friend,3
Loveless,Alice Oseman,3
Looking For Alaska,John Green,3
Little and Lion,Brandy Colbert,3
Light It Up,Kekla Magoon,3
Lady Midnight: The Dark Artifices Book 1,Cassandra Clare,3
Kiss & Tell,Adib Khorram,3
Kasher in the Rye,Moshe Kasher,3
Juliet Takes a Breath,Gabby Rivera,3
Jay's Gay Agenda,Jason June,3
"It's Perfectly Normal, first edition",Robie H. Harris and Michael Emberley,3
