Book Reference #,Title,Author,Rating,Report Link
350,The History of Racism in America,Duchess Harris,1,https://drive.google.com/file/d/11hBs5UedYcrmuv5vfwpWZe3v1kY1F4Ed/view?usp=drive_link
329,The Honeys,Ray La Sala,3,https://drive.google.com/file/d/16yskPK_XQY7vskIPuQxx9XiS0ziJZ9YS/view?usp=drive_link
340,The House on Mango Street,Sandra Cisneros,2,https://drive.google.com/file/d/1EjqVmD6o8nIIwSx0Hcg3ztqZC0Ge4EXJ/view?usp=drive_link
348,The House on Sunrise Lagoon (Book 1): Sam Makes a Splash,Nicole Melleby,1,https://drive.google.com/file/d/1_VfS_-km3p6dlHwI7P1_XSMexs7g6K0O/view?usp=drive_link
353,The House That Wasn't There,Elena K. Arnold,0,https://drive.google.com/file/d/12X8Ki3BKsIv9NEOPFL0gEjbshRc1p3Kd/view?usp=drive_link
361,The Infinite Moment of Us,Lauren Myracle,4,https://drive.google.com/file/d/1dvq256cHpXu8TGYo6Ma3DLojPZAGKYaq/view?usp=drive_link
370,The Invisible Life of Addie LaRue,V.E. Schwab,3,https://drive.google.com/file/d/1KXiInxy-hOthTaEXOyDnnjCMikASv8oO/view?usp=drive_link
408,The Juneteenth Story,Alliah L. Agostini,1,https://drive.google.com/file/d/1cu4S3ccwXHyY20Tb-wFrgyrhVcIGl3x5/view?usp=drive_link
,The Kid,Sapphire,5,https://drive.google.com/file/d/1jnpapQrth3fYVF2uAgQShYUeS55wsnax/view?usp=sharing
412,The Kite Runner,Khaled Hosseini,4,https://drive.google.com/file/d/1NfmjhZAmrsexMKUj882b4Z_3L9K7kKI8/view?usp=drive_link
415,The Kite Runner: a Graphic Novel,Khaled Hosseini,3,https://drive.google.com/file/d/1-WLdeQgYewW28zjYUl4yMi_j8vP-C9q6/view?usp=drive_link
,The Last Letter,Rebecca Yarros,4,https://drive.google.com/file/d/1oHBYp4EU7M5LP6BEqqC6m66WglvcKW4k/view?usp=sharing
432,The Lesbiana's Guide To Catholic School,Sonora Reyes,3,https://drive.google.com/file/d/1Hno8bbMYNIgoOWXYbRuhQ2SUz3cubnbq/view?usp=share_link
421,The Little Black Book for Girlz: A Book on Healthy Sexuality,St. Stephen's Community House,4,https://drive.google.com/file/d/1rtYgsF1neVW27fN_wMxuuvKMe6qobQSA/view?usp=share_link
,The Love Hypothesis,Ali Hazelwood,5,https://drive.google.com/file/d/1pmaxqy1WJCSOvptIVAWyCQVUvsYE-Z2G/view?usp=drive_link
444,The Love Interest,Cale Dietrich,2,https://drive.google.com/file/d/1LGWw7oY3REdE4MbMxDnIcmim1p5lt2zo/view?usp=share_link
431,The Lovely Bones,Alice Sebold,3,https://drive.google.com/file/d/1kQEVQYdjofZoZ_aNBVkC16UK3CRKkN7R/view?usp=share_link
510,The Many Colors of Harpreet Singh,Supriya Kelkar,0,https://drive.google.com/file/d/1jy4uAxHjiG3uy6n1PAoXC1nvInjEhDpH/view?usp=drive_link
513,The Me I Choose to Be,Natasha Anastasia Tarpley,0,https://drive.google.com/file/d/1US_4T9YkkQcUeUPDFAsQo-4jJDJY7USK/view?usp=drive_link
474,The Midnight Lie,Marie Rutkoski,3,https://drive.google.com/file/d/1kruRTbzgOP2YwIvc12UCdlXxw9H_JeuU/view?usp=drive_link
502,The Moon Within,Aida Salazar,1,https://drive.google.com/file/d/1ZKMg8c5GOjkTJ3A9_e9UyEwHsAqW4R2p/view?usp=drive_link
518,The Nerdy and The Dirty,B.T. Gottfred,4,https://drive.google.com/file/d/1-K_ZifIurOR0IyBcVo01AhM2RBwWozhR/view?usp=drive_link
,The New Girl: A Graphic Novel,Cassandra Calin,2,https://drive.google.com/file/d/13SoTtIkY5wsmMAeyzJdIAuJoRa6wq65D/view?usp=drive_link
528,The Nowhere Girls,Amy Reed,3,https://drive.google.com/file/d/15ouAvBO56OKBYViztldNlXB8tV43TmKV/view?usp=drive_link
555,The One and Only Dylan St. Claire,Kamen Edwards,0,https://drive.google.com/file/d/1y4bqNB31WdFA-fk3lBlAUfgzvfrtmRPX/view?usp=drive_link
547,The Opposite of Innocent,Sonya Sones,3,https://drive.google.com/file/d/1AXHroEcQbnxUDqx3-8ZDsuQjd2tX7A8E/view?usp=drive_link
,The Other Boy,M.G. Hennessy,3,
,The Pact: A Love Story,Jodi Picoult,4,https://drive.google.com/file/d/1T722tnDwj4qAbRGkKuYFZbtWca7WhiBJ/view?usp=sharing
575,The Pants Project,Cat Clarke,1,https://drive.google.com/file/d/1WZPqY2w2p69cJx5CtTfmrrL4fZuv7NiA/view?usp=drive_link
568,The Passing Playbook,Isaac Fitzsimons,2,https://drive.google.com/file/d/1DWBI4UfyZNR9WSXlkNhtWZ_NGhoLKyn5/view?usp=drive_link
592,The Peacock and the Mermaid,Julia Johnson,0,https://drive.google.com/file/d/1wfhOUF3TYuDe6tOiM5LwNuya9t2-U8Ph/view?usp=drive_link
563,The Perks of Being a Wallflower,Stephen Chbosky,4,https://drive.google.com/file/d/1pKfWccHu0tv-cjBN7XfaV_128MzJkJn2/view?usp=drive_link
566,The Poet X,Elizabeth Acevedo,3,https://drive.google.com/file/d/1AHX4_Aysba5Q70jnUisJ4-phY7kcTwua/view?usp=drive_link
,The Porcupine of Truth,Bill Konigsberg,3,
571,"The Power Book: What Is It, Who Has It, and Why?","Claire Saunders, Hazel Songhurst, Georgia Amson-Bradshaw, Minna Salami, and Mik Scarlet",2,https://drive.google.com/file/d/1O5xBgzGiTlV3Rnnvs1q3m5SDMQCkFytc/view?usp=drive_link
572,The Prince and the Dressmaker,Jen Wang,2,https://drive.google.com/file/d/1QZrY_FVJ6Ieh9Z3oGWK7SE0sbKERre8W/view?usp=drive_link
587,The Pronoun Book,Chris Ayala-Kronos,1,https://drive.google.com/file/d/119-LcFC023DORlqZPLZ-KvYD33RCDrVK/view?usp=drive_link
588,"The Pronoun Book: She, He, They, and Me!",Cassandra Jules Corrigan,1,https://drive.google.com/file/d/1wX8OGKebQEyYnrJnB173KjV7uUUV_BJJ/view?usp=drive_link
612,The Rainbow Parade,Emily Neilson,2,https://drive.google.com/file/d/14mxlDfTKjgRrZaXFdkrdBK-jQqeBsf_T/view?usp=drive_link
,The Raven Poe Prophecies,P. Anastasia,2,
,The Revenge Game ,Jordyn Taylor,4,
616,The Right Touch,Sandy Kleven,2,https://drive.google.com/file/d/1H8Buptj5uzI8QuJo-nkylL8-fVJp6tXF/view?usp=drive_link
,The Righteous,Renee Ahdieh,3,https://drive.google.com/file/d/1A4JL9vf0t9hFdHAAJG6Tip3Nr_XhmYJP/view?usp=sharing
672,The Sacrifice of Darkness,Roxane Gay and Tracy Lynn Oliver,2,https://drive.google.com/file/d/1iTQU0DYQSp_OmM4Nd8Tp3DrLNYSGyB5d/view?usp=drive_link
,The Scammer,Tiffany D Jackson,4,https://drive.google.com/file/d/1w3kejxQVPzl4z_r_spE_rxckkMjbOtzm/view?usp=sharing
,The Seven Husbands of Evelyn Hugo(sex between adult and a minor),Taylor Jenkins Reid,4,https://drive.google.com/file/d/13j70upS3FxpRSFDkUTuGCQBV9KZ4SXST/view?usp=sharing
,The Seven Year Slip,Ashley Poston,4,https://drive.google.com/file/d/1maSppHtmxDpQtUI1Q0WJnlgcLOgErUeD/view?usp=drive_link
,The Shadow of the Wind,Carlos Ruiz Zafón,4,https://drive.google.com/file/d/1bMZ1n7ZetI_QjVe6YYd7Vgi5X2_uiO-U/view?usp=sharing
681,The Slave Trade: Black Lives and the Drive for Profit,Elliott Smith,1,https://drive.google.com/file/d/17W-zRtX132FDRvei-b1vuWzfkBq1XyWu/view?usp=drive_link
,The Song of Achilles: A Novel,Madeline Miller,4,
,The Spanish Love Deception,Elena Armas,4,https://docs.google.com/presentation/d/1_NNG07YWtQ-lVFpJdD9Y9TDAVLzINLvwioQWSMCaORI/edit?usp=drive_link
,The Squad: A Graphic Novel ,Maggie Tokuda-Hall,3,https://drive.google.com/file/d/1qdDBnhuYuy4oyjb-ZOCC-OonW8oikiJf/view?usp=sharing
673,The Stars Beneath Our Feet,David Barclay Moore,2,https://drive.google.com/file/d/1Ppk5EILyvdMmAC5q3ZYpgQYg3a-Mx3iu/view?usp=drive_link
682,The Sublime Ms. Stacks,Robb Pearlman,1,https://drive.google.com/file/d/176cNoA0R0L-0Es8_tppLYltpG4m80K80/view?usp=drive_link
,The Summer of Owen Todd,Tony Abbott,3,https://drive.google.com/file/d/1YKy9c8x7c8d6BM_7qQykMZjJJr-huJjR/view?usp=sharing
641,The Sun and Her Flowers,Rupi Kaur,4,https://drive.google.com/file/d/1QUKTJNZSm_v0l64Z6qDE1Dqu2lbBi1A8/view?usp=drive_link
,The Sympathizer,Viet Thanh Nguyen,5,https://drive.google.com/file/d/1ossy9abTCgvvDTDgX4J59D_0ga46f-gk/view?usp=sharing
725,"The Talk: Conversations About Race, Love and Truth","Wade Hudson, Cheryl Willis Hudson",1,https://drive.google.com/file/d/1zRGMGWvQOzHZhwUL0wGQjANMKUaP5DEH/view?usp=drive_link
695,The Teenage Guy's Survival Guide,Jeremy Daldrey,3,https://drive.google.com/file/d/1_TF2uxuFdPABU9R_j-sALNDYV3Oaoz0B/view?usp=drive_link
697,The Testaments,Margaret Atwood,3,https://drive.google.com/file/d/1gVJAOEO8xIRqgl0Npfs3AWqz7TtEAeaK/view?usp=drive_link
,The Things We Leave Unfinished,Rebecca Yarros,4,https://docs.google.com/presentation/d/15ATo67OLhktXKU4TyJcvY1erYbbIS5IlYg8Hmy3CeCo/edit?usp=drive_link
,The Thorn Birds,Colleen McCullough,5,
,The Thrashers ,Julie Sato,4,https://drive.google.com/file/d/1CGfyzwHCWFPg9gI6N9XR68gZzhfq65QS/view?usp=sharing
687,"The Trauma Cleaner: One Woman's Extraordinary Life in the Business of Death, Decay, and Disaster",Sarah Krasnostein,5,https://drive.google.com/file/d/1OwD85AemYjg_l0My5CjWntGj-gsJOQQO/view?usp=drive_link
734,The Trouble With Chickens,Doreen Cronin,0,https://drive.google.com/file/d/1BR0lBzHXIZACUzDFHv58mT-i-_mxIr_4/view?usp=drive_link
704,The Truth About Alice,Jennifer Mathieu,3,https://drive.google.com/file/d/1h4GPzbWGHxQN03DnFw2ui-hzRcHb6Sbz/view?usp=drive_link
739,The Undefeated,Kwame Alexander,1,https://drive.google.com/file/d/1oxacsfpryrMaDlLmVMDCOxD0A7AGeLLq/view?usp=share_link
737,The Upside of Unrequited,Becky Albertalli,3,https://drive.google.com/file/d/1sBgalSeTo-tQgI7_Fx1ZdKVIg31EY4Ss/view?usp=share_link
745,The Violin Maker's Daughter,Sharon Maas,3,https://drive.google.com/file/d/1vtBS9oixfXGprjr0R9Ni2-sVruKZlzW1/view?usp=drive_link
,The Voice of the Night,Dean Koontz,5,
742,The V-Word,Amber J. Keyser,4,https://drive.google.com/file/d/18aswGiMXB_khJaw8JxZ_xF4YVZZGBWkQ/view?usp=drive_link
747,The War of Two Queens: Blood and Ash book 4,Jennifer L. Armentrout,4,https://drive.google.com/file/d/1IgqTf2O8qYtq2r8Di0go8AVEDgpUpuTT/view?usp=drive_link
748,The Wind-Up Bird Chronicle,Haruki Murakami,4,https://drive.google.com/file/d/1c79PeYhC6XhliIBv0XkUN4pVsv9tcpd-/view?usp=drive_link
777,The Witch Boy,Molly Knox Ostertag,1,https://drive.google.com/file/d/11IWrahbaw4Ba12cVre3TwcbDd3kUlvfd/view?usp=drive_link
,The Women,Kristin Hannah,3,https://drive.google.com/file/d/1JN3DhjxT8oUYU8Tye59RhB71JtqRcDe6/view?usp=sharing
,The Worst Best Man,Lucy Score,5,https://drive.google.com/file/d/1efbWPPt7f5z9JC-d8xjQg6lHsOaNIZ_1/view?usp=sharing
798,The Year My Life Went Down the Toilet,Jake Maia Arlow,2,https://drive.google.com/file/d/1QPIbrO5zC6X9jyN5pVCf1-hr22JsxLkT/view?usp=drive_link
793,The Year of the Flood,Margaret Atwood,3,https://drive.google.com/file/d/1RaduZgCIFLIPmtVvntSaM814mo8YyV6k/view?usp=drive_link
795,The You I've Never Known,Ellen Hopkins,3,https://drive.google.com/file/d/1G8TxQx45fIKG2IAeLs0sPpdA585s6mJy/view?usp=drive_link
,Then Again Maybe I Won't ,Judy Blume,2,https://drive.google.com/file/d/1So6cHrzuyJuWIHbfFgZWAwMqSl47zJRN/view?usp=sharing
729,There's No Such Thing as Vegetables,Kyle Lukoff,1,https://drive.google.com/file/d/1hWNb0jc8-LxEAQWi7KjhAYIUmFmbTUQ1/view?usp=drive_link
